Sales_no,Sales_date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Sold,Total_Sales_Value,Zone_name
11832,1/3/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,30,7843,North
11833,1/3/2017,83,A5 Notebooks,240x180 Design,Soft,Four lines,11,4790,West
11834,1/3/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,15,11737,East
11835,1/3/2017,133,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),17,5750,North
11836,1/4/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,16,6710,East
11837,1/4/2017,23,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),24,3657,West
11838,1/4/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,18,10603,Central
11839,1/4/2017,4,Small Notebooks,190x155 Design,Hard,Double line,7,4616,North
11840,1/4/2017,23,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),10,11563,North
11841,1/4/2017,1,Small Notebooks,190x155 Design,Hard,Unruled,17,2523,South
11842,1/4/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,25,9470,North
11843,1/4/2017,41,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,21,3483,West
11844,1/4/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,5,10430,South
11845,1/4/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),16,7377,North
11846,1/4/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,13,8337,West
11847,1/4/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,7,5284,East
11848,1/4/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,18,9296,North
11849,1/4/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),3,6243,West
11850,1/4/2017,58,A5 Notebooks,240x180 Design,Hard,Single Line,27,10256,South
11851,1/5/2017,143,A4 Notebooks,297x210 Design,Soft,Single Line,8,4150,North
11852,1/5/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,10,8163,South
11853,1/5/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,8,5110,West
11854,1/5/2017,54,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),11,2057,North
11855,1/5/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,7,6070,Central
11856,1/6/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,28,7029,East
11857,1/6/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,3,3976,South
11858,1/6/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,29,10923,North
11859,1/6/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,19,4936,East
11860,1/6/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,15,11883,East
11861,1/6/2017,210,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),4,2843,North
11862,1/6/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,17,9790,Central
11863,1/6/2017,114,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,13,3803,Central
11864,1/6/2017,175,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,21,10750,South
11865,1/7/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,15,7697,West
11866,1/7/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,6,8656,West
11867,1/7/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,25,5603,West
11868,1/7/2017,91,A5 Notebooks,240x180 Design,Soft,Medium Square,16,9616,East
11869,1/7/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),15,6563,South
11870,1/7/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,12,10576,East
11871,1/7/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,5,4470,West
11872,1/7/2017,48,Long (Soft),272x167 Design,Long (Soft),Unruled,18,8483,East
11873,1/7/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),15,5430,North
11874,1/7/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,23,2377,South
11875,1/7/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,5,6389,Central
11876,1/7/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),29,7349,North
11877,1/7/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,24,4296,East
11878,1/7/2017,98,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),4,11243,North
11879,1/7/2017,37,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,2,5256,South
11880,1/8/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,7,9150,West
11881,1/8/2017,158,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,23,3163,East
11882,1/8/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),23,10110,North
11883,1/8/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,22,4122,North
11884,1/8/2017,91,A5 Notebooks,240x180 Design,Soft,Medium Square,13,11069,East
11885,1/8/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,25,8016,South
11886,1/8/2017,89,A5 Notebooks,240x180 Design,Soft,Medium Square,23,8976,East
11887,1/8/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,14,5923,Central
11888,1/9/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,11,9936,North
11889,1/9/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,3,6883,West
11890,1/10/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,15,10896,Central
11891,1/10/2017,46,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Medium Square,12,4790,East
11892,1/10/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,16,8802,North
11893,1/10/2017,110,A5 Notebooks,240x180 Design,Soft (Brown),Double line,29,5749,West
11894,1/10/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),20,2696,West
11895,1/10/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,2,6709,South
11896,1/10/2017,148,A4 Notebooks,297x210 Design,Soft,Four lines,15,3656,North
11897,1/10/2017,48,Long (Soft),272x167 Design,Long (Soft),Unruled,10,4616,South
11898,1/10/2017,11,Small Notebooks,190x155 Design,Soft,Unruled,16,11563,South
11899,1/10/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,10,5576,Central
11900,1/10/2017,170,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,21,2523,Central
11901,1/10/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),13,3482,North
11902,1/10/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,24,10429,South
11903,1/10/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,1,4442,North
11904,1/10/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,16,11389,West
11905,1/11/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,20,8336,Central
11906,1/11/2017,106,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,6,9296,Central
11907,1/12/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,24,6243,East
11908,1/12/2017,95,A5 Notebooks,240x180 Design,Soft,Maths Ruled,8,10256,Central
11909,1/12/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,12,7203,East
11910,1/12/2017,182,Practical Books,215x265 Design,Hard,Physics,18,11216,Central
11911,1/12/2017,110,A5 Notebooks,240x180 Design,Soft (Brown),Double line,10,5109,Central
11912,1/12/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),8,9122,North
11913,1/13/2017,1,Small Notebooks,190x155 Design,Hard,Unruled,23,6069,Central
11914,1/13/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,22,3016,West
11915,1/13/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,23,7029,West
11916,1/13/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,13,3976,East
11917,1/13/2017,150,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),10,4936,South
11918,1/13/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,18,11883,Central
11919,1/14/2017,199,Premio Spiral book,220x280 Design,soft,Scrap Book,4,5896,Central
11920,1/14/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,18,2843,Central
11921,1/14/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,8,9790,Central
11922,1/14/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,14,10749,South
11923,1/15/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,12,4762,West
11924,1/15/2017,58,A5 Notebooks,240x180 Design,Hard,Single Line,18,11709,East
11925,1/15/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,27,8656,North
11926,1/15/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,28,2669,East
11927,1/16/2017,179,Practical Books,215x265 Design,Hard,Biology,14,9616,West
11928,1/16/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,26,10576,East
11929,1/16/2017,42,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),10,7523,West
11930,1/16/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,19,11535,North
11931,1/16/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,21,8482,West
11932,1/16/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,30,5429,West
11933,1/16/2017,1,Small Notebooks,190x155 Design,Hard,Unruled,13,9442,East
11934,1/16/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,27,3336,Central
11935,1/16/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,4,7349,North
11936,1/16/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,12,4296,North
11937,1/16/2017,207,Project Paper,280x220 Design,Project Paper,Unruled,27,8309,West
11938,1/16/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,5,5256,East
11939,1/16/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,25,2203,South
11940,1/16/2017,167,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,10,6215,West
11941,1/16/2017,118,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,25,3162,West
11942,1/17/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,11,4122,West
11943,1/17/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,16,11069,West
11944,1/17/2017,121,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,2,5082,West
11945,1/17/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,29,2029,Central
11946,1/18/2017,178,Practical Books,215x265 Design,Hard,Chemistry,13,8976,Central
11947,1/18/2017,209,Project Paper,280x220 Design,Project Paper,Single Line,8,2989,North
11948,1/18/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,1,6883,East
11949,1/18/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,4,10895,North
11950,1/18/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,12,7842,West
11951,1/18/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,9,11855,Central
11952,1/18/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,12,8802,West
11953,1/18/2017,178,Practical Books,215x265 Design,Hard,Chemistry,13,9762,South
11954,1/18/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,13,6709,Central
11955,1/18/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,16,3656,East
11956,1/18/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,23,7669,West
11957,1/18/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),9,4616,South
11958,1/18/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,9,8628,East
11959,1/18/2017,4,Small Notebooks,190x155 Design,Hard,Double line,9,2522,Central
11960,1/18/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,18,6535,South
11961,1/19/2017,108,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,24,3482,Central
11962,1/19/2017,20,Small Notebooks,190x155 Design,Soft,Maths Ruled,17,10429,West
11963,1/19/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,14,4442,South
11964,1/19/2017,106,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,13,11389,Central
11965,1/19/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,18,2349,West
11966,1/20/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,6,9296,East
11967,1/20/2017,4,Small Notebooks,190x155 Design,Hard,Double line,5,3308,West
11968,1/20/2017,116,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,17,10255,South
11969,1/20/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,13,7202,North
11970,1/20/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,19,11215,West
11971,1/20/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,10,2175,Central
11972,1/20/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,18,9122,West
11973,1/20/2017,155,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,5,6069,North
11974,1/20/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,23,10082,Central
11975,1/20/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,21,7029,South
11976,1/21/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,15,7988,East
11977,1/22/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),29,4935,South
11978,1/22/2017,4,Small Notebooks,190x155 Design,Hard,Double line,20,8948,Central
11979,1/22/2017,2,Small Notebooks,190x155 Design,Hard,Single Line,29,5895,North
11980,1/22/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,18,2842,Central
11981,1/22/2017,9,Small Notebooks,190x155 Design,Hard,Interleaf(SL+Unruled),2,6855,West
11982,1/22/2017,67,A5 Notebooks,240x180 Design,Soft,Single Line,13,10749,West
11983,1/22/2017,155,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,14,4762,East
11984,1/22/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,13,11709,West
11985,1/22/2017,162,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Unruled,18,5722,South
11986,1/22/2017,171,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,13,2669,South
11987,1/23/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,22,9615,North
11988,1/23/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,3,10575,East
11989,1/23/2017,201,Other Books,176x250 Design,B5 WIRO,Single Line,25,7522,East
11990,1/23/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,8,11535,Central
11991,1/23/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),8,8482,South
11992,1/23/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,24,2495,South
11993,1/23/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,25,9442,South
11994,1/23/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,7,10402,East
11995,1/23/2017,117,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,11,7349,East
11996,1/23/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,19,4296,North
11997,1/23/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,20,8308,Central
11998,1/24/2017,90,A5 Notebooks,240x180 Design,Soft,Medium Square,6,5255,West
11999,1/24/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,24,6215,East
12000,1/24/2017,103,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,17,3162,South
12001,1/24/2017,9,Small Notebooks,190x155 Design,Hard,Interleaf(SL+Unruled),20,7175,Central
12002,1/24/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,4,4122,West
12003,1/24/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,11,11069,West
12004,1/24/2017,158,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,14,5082,South
12005,1/24/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,6,6041,East
12006,1/24/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,30,2988,East
12007,1/24/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),10,9935,Central
12008,1/25/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,6,3948,East
12009,1/25/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,15,10895,West
12010,1/25/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,1,7842,East
12011,1/25/2017,29,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,10,8802,South
12012,1/25/2017,133,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),29,2815,Central
12013,1/26/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,6,9762,Central
12014,1/26/2017,68,A5 Notebooks,240x180 Design,Soft,Single Line,19,6709,West
12015,1/26/2017,162,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Unruled,22,10721,South
12016,1/26/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,8,4615,West
12017,1/26/2017,108,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,17,8628,East
12018,1/26/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,11,5575,Central
12019,1/26/2017,110,A5 Notebooks,240x180 Design,Soft (Brown),Double line,18,9588,West
12020,1/26/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,12,6535,North
12021,1/26/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,5,3482,North
12022,1/27/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,19,4442,South
12023,1/27/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,13,11389,East
12024,1/27/2017,148,A4 Notebooks,297x210 Design,Soft,Four lines,7,5401,North
12025,1/27/2017,187,Drawing Book,170x245 Design,Drawing Book,small,2,2348,West
12026,1/27/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,23,6361,Central
12027,1/27/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,15,10255,Central
12028,1/28/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,14,4268,East
12029,1/28/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,25,11215,West
12030,1/28/2017,114,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,19,8162,North
12031,1/28/2017,151,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,8,2175,North
12032,1/28/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,29,9122,East
12033,1/28/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,11,10081,East
12034,1/28/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,7,7028,East
12035,1/28/2017,90,A5 Notebooks,240x180 Design,Soft,Medium Square,19,11041,East
12036,1/28/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,18,7988,South
12037,1/28/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,2,4935,North
12038,1/28/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,12,5895,West
12039,1/28/2017,61,A5 Notebooks,240x180 Design,Soft,Unruled,26,9908,Central
12040,1/28/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,12,6855,North
12041,1/29/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,20,3802,Central
12042,1/29/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,8,7814,Central
12043,1/29/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,18,4761,South
12044,1/29/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,21,5721,Central
12045,1/30/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,25,2668,East
12046,1/30/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,12,6681,Central
12047,1/31/2017,177,Practical Books,215x265 Design,Hard,Chemistry,7,3628,South
12048,1/31/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,7,10575,Central
12049,1/31/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,27,4588,West
12050,1/31/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,14,8482,North
12051,1/31/2017,136,A4 Notebooks,297x210 Design,Soft,Unruled,19,2494,Central
12052,1/31/2017,78,A5 Notebooks,240x180 Design,Soft,Double line,2,9441,West
12053,1/31/2017,12,Small Notebooks,190x155 Design,Soft,Single Line,12,3454,West
12054,2/1/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,1,10401,South
12055,2/1/2017,130,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),16,11361,North
12056,2/1/2017,152,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,10,8308,Central
12057,2/1/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,11,5255,East
12058,2/1/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,8,9268,West
12059,2/2/2017,57,Long (Brown),272x167 Brown,Long (Brown),Single Line,18,6215,West
12060,2/2/2017,210,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),28,7174,East
12061,2/2/2017,171,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,24,4121,West
12062,2/2/2017,133,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),15,8134,West
12063,2/2/2017,29,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,30,5081,North
12064,2/2/2017,125,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,21,2028,North
12065,2/2/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,23,6041,South
12066,2/2/2017,92,A5 Notebooks,240x180 Design,Soft,Medium Square,3,7001,West
12067,2/2/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,2,3948,West
12068,2/2/2017,25,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,5,10895,East
12069,2/2/2017,210,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),19,4908,East
12070,2/3/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),2,11855,West
12071,2/3/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,29,2814,East
12072,2/3/2017,37,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,16,9761,East
12073,2/3/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,12,3774,East
12074,2/3/2017,15,Small Notebooks,190x155 Design,Soft,Double line,20,10721,East
12075,2/3/2017,116,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,27,7668,West
12076,2/3/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,12,11681,North
12077,2/4/2017,31,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,5,5575,South
12078,2/4/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,5,9588,North
12079,2/5/2017,179,Practical Books,215x265 Design,Hard,Biology,16,6535,Central
12080,2/5/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,16,10547,North
12081,2/5/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),10,7494,East
12082,2/5/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,13,8454,East
12083,2/5/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,27,5401,North
12084,2/5/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,19,2348,West
12085,2/5/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,4,6361,East
12086,2/5/2017,2,Small Notebooks,190x155 Design,Hard,Single Line,24,3308,Central
12087,2/5/2017,64,A5 Notebooks,240x180 Design,Soft,Unruled,7,7321,Central
12088,2/5/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,13,11215,East
