Order_no,Order_Date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Ordered,Total_order_Value,Zone_name
1075,1/6/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,56,30517,North
1076,1/6/2017,178,Practical Books,215x265 Design,Hard,Chemistry,17,16148,South
1077,1/6/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,15,32821,South
1078,1/6/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,1,11124,East
1079,1/6/2017,209,Project Paper,280x220 Design,Project Paper,Single Line,55,27797,North
1080,1/6/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,27,20470,East
1081,1/6/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,40,30100,Central
1082,1/6/2017,171,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,8,22773,North
1083,1/6/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),11,25077,West
1084,1/7/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,46,27380,West
1085,1/7/2017,197,Premio Spiral book,220x280 Design,soft,Graph Book (Big),16,20053,South
1086,1/7/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,8,12725,North
1087,1/7/2017,95,A5 Notebooks,240x180 Design,Soft,Maths Ruled,40,22356,North
1088,1/7/2017,162,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Unruled,24,24660,Central
1089,1/7/2017,199,Premio Spiral book,220x280 Design,soft,Scrap Book,17,17332,West
1090,1/7/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,50,10005,West
1091,1/7/2017,89,A5 Notebooks,240x180 Design,Soft,Medium Square,51,19636,North
1092,1/7/2017,108,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,38,12309,South
1093,1/7/2017,117,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,14,28981,Central
1094,1/8/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,60,31285,Central
1095,1/8/2017,23,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),54,16915,South
1096,1/8/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),32,33588,West
1097,1/8/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,30,26261,South
1098,1/8/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,15,11892,North
1099,1/8/2017,20,Small Notebooks,190x155 Design,Soft,Maths Ruled,30,28564,North
1100,1/8/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,21,30868,Central
1101,1/9/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,35,23541,West
1102,1/9/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,31,33171,East
1103,1/9/2017,42,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),21,25844,West
1104,1/9/2017,117,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,15,28148,West
1105,1/9/2017,179,Practical Books,215x265 Design,Hard,Biology,34,20820,South
1106,1/9/2017,26,Small Notebooks,190x155 Brown,Small Hard Brown,Double line,15,13493,North
1107,1/9/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,4,23124,East
1108,1/9/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),21,15797,East
1109,1/9/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,36,18100,North
1110,1/9/2017,4,Small Notebooks,190x155 Design,Hard,Double line,40,10773,East
1111,1/9/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,46,20403,Central
1112,1/9/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,10,13076,West
1113,1/9/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,35,29749,South
1114,1/9/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,28,15380,East
1115,1/10/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),1,17683,South
1116,1/10/2017,174,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,28,10356,South
1117,1/10/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,32,27029,East
1118,1/10/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,60,12659,Central
1119,1/10/2017,184,Practical Books,215x265 Design,Hard,Combined,26,29332,South
1120,1/10/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,33,22005,North
1121,1/10/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,23,24308,North
1122,1/10/2017,200,Other Books,176x250 Design,B5 WIRO,Single Line,22,33939,East
1123,1/10/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,10,26612,West
1124,1/10/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,19,19284,Central
1125,1/10/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,25,28915,Central
1126,1/10/2017,165,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,5,14261,North
1127,1/10/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,23,23891,South
1128,1/10/2017,148,A4 Notebooks,297x210 Design,Soft,Four lines,28,16564,Central
1129,1/11/2017,95,A5 Notebooks,240x180 Design,Soft,Maths Ruled,5,26195,South
1130,1/11/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),5,18868,East
1131,1/11/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,14,21171,North
1132,1/11/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),49,13844,Central
1133,1/11/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,52,30516,South
1134,1/11/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,9,16147,East
1135,1/11/2017,178,Practical Books,215x265 Design,Hard,Chemistry,20,32820,Central
1136,1/11/2017,193,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),36,18451,South
1137,1/11/2017,25,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,4,27796,East
1138,1/11/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,29,13427,North
1139,1/11/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,12,30100,West
1140,1/11/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,26,22772,East
1141,1/11/2017,167,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,33,32403,North
1142,1/11/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,35,25076,North
1143,1/11/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,47,27379,North
1144,1/12/2017,4,Small Notebooks,190x155 Design,Hard,Double line,7,20052,East
1145,1/12/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,2,29683,East
1146,1/13/2017,193,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),50,22355,East
1147,1/13/2017,114,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,25,15028,West
1148,1/13/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,2,17332,West
1149,1/13/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,27,26962,South
1150,1/13/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,21,19635,North
1151,1/13/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,6,12308,East
1152,1/14/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),5,21939,West
1153,1/14/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,11,31284,North
1154,1/14/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,25,16915,Central
1155,1/14/2017,209,Project Paper,280x220 Design,Project Paper,Single Line,24,33587,Central
1156,1/14/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,23,11891,Central
1157,1/15/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,50,28564,South
1158,1/15/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,31,30867,West
1159,1/15/2017,106,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,29,23540,South
1160,1/15/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,25,33171,Central
1161,1/15/2017,86,A5 Notebooks,240x180 Design,Soft,Four lines,22,25843,South
1162,1/15/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,43,11474,West
1163,1/15/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,3,28147,East
1164,1/15/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,20,20820,East
1165,1/15/2017,182,Practical Books,215x265 Design,Hard,Physics,57,23123,Central
1166,1/16/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,51,15796,East
1167,1/16/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,14,25426,East
1168,1/16/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,24,18099,North
1169,1/16/2017,103,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,35,27730,North
1170,1/16/2017,74,A5 Notebooks,240x180 Design,Soft,Single Line,37,20403,West
1171,1/16/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,38,22706,Central
1172,1/16/2017,86,A5 Notebooks,240x180 Design,Soft,Four lines,53,15379,South
1173,1/16/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,12,32052,North
1174,1/16/2017,120,A5 Notebooks,240x180 Design,Soft (Brown),Five line,8,17682,North
1175,1/17/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,39,10355,East
1176,1/17/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,8,19986,Central
1177,1/17/2017,47,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Interleaf(SL+Unruled),29,29331,Central
1178,1/17/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,42,14962,Central
1179,1/17/2017,179,Practical Books,215x265 Design,Hard,Biology,2,31635,East
1180,1/17/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,6,24307,East
1181,1/17/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,51,33938,North
1182,1/17/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,60,26611,East
1183,1/17/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,20,28914,West
1184,1/17/2017,94,A5 Notebooks,240x180 Design,Soft,Maths Ruled,10,21587,East
1185,1/17/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,33,31218,South
1186,1/17/2017,25,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,45,23891,South
1187,1/17/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,55,16563,East
1188,1/18/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,47,18867,West
1189,1/18/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,2,28497,South
1190,1/18/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,13,21170,South
1191,1/18/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,33,13843,South
1192,1/18/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,56,23474,Central
1193,1/18/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,9,32819,South
1194,1/18/2017,31,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,24,18450,East
1195,1/18/2017,97,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),16,11123,East
1196,1/18/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,25,20753,Central
1197,1/18/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,2,13426,West
1198,1/19/2017,143,A4 Notebooks,297x210 Design,Soft,Single Line,43,30099,South
1199,1/19/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,47,15729,South
1200,1/19/2017,174,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,13,32402,East
1201,1/19/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,9,10706,East
1202,1/19/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,50,27378,West
1203,1/19/2017,74,A5 Notebooks,240x180 Design,Soft,Single Line,18,13009,South
1204,1/19/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,52,29682,East
1205,1/19/2017,193,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),55,22355,East
1206,1/19/2017,179,Practical Books,215x265 Design,Hard,Biology,15,31985,West
1207,1/19/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),58,24658,West
1208,1/19/2017,77,A5 Notebooks,240x180 Design,Soft,Double line,9,17331,East
1209,1/19/2017,71,A5 Notebooks,240x180 Design,Soft,Single Line,60,19634,Central
1210,1/20/2017,42,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),10,29265,East
1211,1/20/2017,4,Small Notebooks,190x155 Design,Hard,Double line,51,21938,East
1212,1/20/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,20,14610,West
1213,1/20/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,57,24241,West
1214,1/20/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,40,16914,West
1215,1/20/2017,41,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,24,33587,East
1216,1/20/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,60,11890,Central
1217,1/20/2017,113,A5 Notebooks,240x180 Design,Soft (Brown),Double line,29,21521,West
1218,1/20/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,49,14194,South
1219,1/20/2017,90,A5 Notebooks,240x180 Design,Soft,Medium Square,58,30866,West
1220,1/20/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,48,16497,West
1221,1/20/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,32,33170,East
1222,1/20/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,25,25843,South
1223,1/20/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,8,28146,East
1224,1/21/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,13,13777,East
1225,1/22/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,48,30449,North
1226,1/22/2017,103,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,32,23122,West
1227,1/22/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,36,32753,South
1228,1/22/2017,18,Small Notebooks,190x155 Design,Soft,Medium Square,27,27729,North
1229,1/22/2017,149,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),16,20402,East
1230,1/23/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,49,30033,East
1231,1/23/2017,101,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,47,22705,North
1232,1/23/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,7,15378,Central
1233,1/24/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,58,25009,Central
1234,1/24/2017,67,A5 Notebooks,240x180 Design,Soft,Single Line,42,17682,South
1235,1/24/2017,157,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,19,19985,Central
1236,1/24/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,14,12658,North
1237,1/24/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,10,22288,South
1238,1/24/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,48,14961,West
1239,1/24/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,51,31634,East
1240,1/24/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,8,17265,East
1241,1/24/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,30,33937,East
1242,1/25/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,59,12241,East
1243,1/25/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,49,28914,East
1244,1/25/2017,182,Practical Books,215x265 Design,Hard,Physics,34,14544,Central
1245,1/25/2017,14,Small Notebooks,190x155 Design,Soft,Double line,53,31217,North
1246,1/25/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,7,23890,Central
1247,1/25/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,6,33520,North
1248,1/25/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),45,26193,East
1249,1/25/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,60,18866,West
1250,1/25/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,41,21169,North
1251,1/25/2017,27,Small Notebooks,190x155 Brown,Small Hard Brown,Double line,30,30800,Central
1252,1/25/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,57,23473,East
1253,1/26/2017,175,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,58,16146,South
1254,1/26/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,56,25776,South
1255,1/26/2017,11,Small Notebooks,190x155 Design,Soft,Unruled,60,18449,East
1256,1/27/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,60,11122,East
1257,1/27/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,54,20753,East
1258,1/27/2017,158,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,44,23056,South
1259,1/27/2017,65,A5 Notebooks,240x180 Design,Soft,Unruled,33,15729,South
1260,1/28/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,2,32401,West
1261,1/28/2017,98,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),21,18032,South
1262,1/28/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,13,10705,West
1263,1/28/2017,9,Small Notebooks,190x155 Design,Hard,Interleaf(SL+Unruled),10,27378,West
1264,1/28/2017,46,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Medium Square,56,13008,North
1265,1/28/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,29,29681,East
1266,1/28/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,8,31985,West
1267,1/28/2017,15,Small Notebooks,190x155 Design,Soft,Double line,43,24657,South
1268,1/28/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,15,10288,South
1269,1/29/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,27,26961,North
1270,1/29/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,38,19634,North
1271,1/29/2017,81,A5 Notebooks,240x180 Design,Soft,Four lines,46,29264,Central
1272,1/29/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,21,21937,North
1273,1/29/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,10,24240,Central
1274,1/29/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),47,16913,South
1275,1/29/2017,149,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),60,26544,West
1276,1/29/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,26,19217,North
1277,1/30/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,51,11889,South
1278,1/30/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,48,21520,South
1279,1/30/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,18,14193,West
1280,1/30/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),25,23824,North
1281,1/30/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,8,33169,Central
1282,1/30/2017,70,A5 Notebooks,240x180 Design,Soft,Single Line,44,18800,South
1283,1/30/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,36,11472,West
1284,1/30/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,27,28145,East
1285,1/30/2017,182,Practical Books,215x265 Design,Hard,Physics,5,13776,Central
1286,1/30/2017,165,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,2,30449,South
1287,1/30/2017,121,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,44,16079,West
1288,1/30/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,36,32752,East
1289,1/30/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,11,11056,Central
1290,1/30/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),19,27728,West
1291,1/31/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,6,20401,Central
1292,1/31/2017,96,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),47,30032,East
1293,1/31/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,25,22705,North
1294,1/31/2017,41,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,45,32335,South
1295,1/31/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,21,25008,Central
1296,1/31/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,24,27311,East
1297,1/31/2017,27,Small Notebooks,190x155 Brown,Small Hard Brown,Double line,15,19984,East
1298,1/31/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),57,12657,South
1299,1/31/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,7,22288,North
1300,2/1/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,51,24591,South
1301,2/1/2017,41,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,15,17264,West
1302,2/1/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,55,33937,South
1303,2/1/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,31,19567,South
1304,2/1/2017,74,A5 Notebooks,240x180 Design,Soft,Single Line,42,12240,North
1305,2/1/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,37,14543,Central
1306,2/1/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,41,31216,North
1307,2/1/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,41,16847,South
1308,2/1/2017,47,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Interleaf(SL+Unruled),10,33520,East
1309,2/1/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,42,26192,West
1310,2/1/2017,95,A5 Notebooks,240x180 Design,Soft,Maths Ruled,3,11823,North
1311,2/1/2017,178,Practical Books,215x265 Design,Hard,Chemistry,52,28496,East
1312,2/2/2017,50,Long (Soft),272x167 Design,Long (Soft),Single Line,45,21169,Central
1313,2/2/2017,121,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,20,23472,North
1314,2/2/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,24,33103,East
1315,2/2/2017,140,A4 Notebooks,297x210 Design,Soft,Unruled,3,25776,East
1316,2/2/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,20,18448,South
1317,2/2/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,25,28079,West
1318,2/2/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,42,20752,East
1319,2/2/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,24,13424,West
1320,2/2/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,39,23055,East
1321,2/2/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,4,15728,West
1322,2/2/2017,24,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,2,18031,West
1323,2/2/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,41,10704,South
1324,2/2/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,1,20335,Central
1325,2/3/2017,5,Small Notebooks,190x155 Design,Hard,Double line,33,13008,East
1326,2/3/2017,108,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,18,29680,East
1327,2/4/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),40,15311,Central
1328,2/4/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,10,31984,West
1329,2/4/2017,97,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),4,10287,South
